Title,ID,Created Date,Updated Date,Owner,VASP Name,Required Document,Service Method,Compliance Email,Legal Address,Compliance Portal,Last Updated,Notes,Phone Number
Switchain.com,0473397c-3039-4581-9027-cbf8d0514c3e,2023-11-23T14:02:51Z,2024-08-17T19:12:08Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Switchain.com,Letterhead,Email,compliance@switchain.com,Unknown,http://NA,,,NA
Roqqu Technologies Ltd.,0a668c4a-0a7a-4108-a873-0c42335f0e2e,2025-02-05T21:21:37Z,2025-02-05T21:23:19Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Roqqu,Letterhead,email,hello@roqqu.com,"27A, ROAD 11, IKOTA VILLA ESTATE LEKKI-EPE EXPRESSWAY, LAGOS",,,"<p class=""font_8"">Roqqu is a fully regulated digital asset operator licensed in Lithuania by the Financial Investigation Unit (FIU) of Lithuania under Roqqu UAB Technologies with license number 305963619 operated legally across 28 countries across Europe.</p>",
Liberty X,0b63d680-b707-456f-9cac-e0b826e1aa32,2024-02-15T14:58:00Z,2024-02-15T15:00:59Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Moon. Inc,Subpoena,Email,Compliance@libertyx.com,864 Spring St. NW Atlanta GA 30308,,,"<p class=""font_8"">May provide public blockchain data regarding a specific transaction on a letterhead request.</p>",800-511-8940
Moon Pay,0d1eb240-d0dc-4454-a009-f2bd05c1b2ce,2023-11-23T13:01:33Z,2023-11-23T13:03:11Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,MoonPAy USA LLC,Subpoena,Kodex Portal,NA,"MoonPAy USA LLC
8 The Green, STE B
Dover, DE 19901",https://app.kodex.us/moonpay/signin.,,"<p class=""font_8"">NA</p>",NA
Kuna,0f4360ad-4e19-4f26-b81b-f86006a171fc,2023-11-29T18:32:51Z,2023-11-29T18:43:51Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Kuna Fintech Limited (UK Entity),Unknown,Email,law@kuna.family,See Notes,https://kuna.io/,,"<p class=""font_8"">Ukraine based,</p>
<p class=""font_8"">no Known US Compliance&nbsp;</p>
<ul class=""font_8"">
  <li><p class=""font_8"">Republic of Lithuania:</p></li>
  <li><p class=""font_8"">Legal name: UAB Kuna Pro</p></li>
  <li><p class=""font_8"">Registered address: Eišiškių Sodų 18-oji g. 11, LT-02194 Vilnius</p></li>
  <li><p class=""font_8"">Company number: 306041195</p></li>
  <li><p class=""font_8"">Canada:</p></li>
  <li><p class=""font_8"">Legal name: FlexyPay Inc.</p></li>
  <li><p class=""font_8"">Registered address: 398-416 Main st, Vancouver, BC, Canada, V5T3E2</p></li>
  <li><p class=""font_8"">Company number: BC1341302</p></li>
</ul>",NA
CoinCola,1185acc3-30c3-411c-9a46-c95794d97714,2025-02-05T21:23:32Z,2025-02-05T21:30:25Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,CoinCola,Letterhead,email,evidence@coincola.com,,,,"<p class=""font_8"">To aid the expeditious review of information requests, international law enforcement officers should provide in the request:</p>
<ul class=""font_8"">
  <li><p class=""font_8"">Name of the law enforcement authority;</p></li>
  <li><p class=""font_8"">Proof that the officer is authorized to request the information (proof of authority) and current position within the law enforcement organization;</p></li>
  <li><p class=""font_8"">Proof of identification of the officer within the law enforcement organization (e.g. badge number, internal ID number);</p></li>
  <li><p class=""font_8"">Email address from a government domain;</p></li>
  <li><p class=""font_8"">Contact information (email address, number) from the governmental organization;</p></li>
  <li><p class=""font_8"">The name of the specific legal entity where you require the information from;</p></li>
  <li><p class=""font_8"">Specifics of request, including:Subpoena identifier-number in the subject line<br>
How we should authenticate the subpoena, such as call-back procedure<br>
Any public address or transaction IDs in text format or an Excel file (not PDF)<br>
State a reasonable deadline<br>
Mutual Legal Assistance Treaty request for international law enforcement<br>
</p></li>
</ul>
<p class=""font_8"">4. &nbsp;<strong>LAW ENFORCEMENT EMERGENCY REQUESTS</strong></p>
<p class=""font_8"">For extremely urgent requests, such as when there is risk of death or serious physical danger to a person, please state URGENT REQUEST in the Subject Line.</p>",
Huione Pay,11dc3f05-72f9-446e-9b35-06a1a61eda97,2023-11-29T21:17:44Z,2023-11-29T21:25:47Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,"Huione Group Co., Ltd. (Huione Group Limited) [Hong Kong, 2777961]",Unknown,Unknown,Unknown,"62 Norodom Blvd,
Phnom Penh, Cambodia",http://Telegram in Notes,,"<p class=""font_8"">Cambodia based Chineese payment platform</p>
<p class=""font_8"">Legal Entities</p>
<p class=""font_8"">Huione Pay PLC &nbsp;[Cambodia, 00032666]</p>
<p class=""font_8"">Huione Pay Inc. [Canada, BC1328612]</p>
<p class=""font_8"">Huione Pte. Ltd. [Singapore, 202119225G]</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Telegram: <a href=""https://t.me/hwjy77"">@hwjy77</a></p>
<p class=""font_8"">Tron Address TL8TBpubVzBr1UWPXBXU8Pci5ZAip9SwEf</p>",NA
Opensea.io,134d414d-0efb-4870-abd9-9c2f9e94c9d3,2023-11-23T13:28:15Z,2023-11-23T13:31:28Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Opensea.io,Subpoena,Kodex Portal,Info@opensea.io,"Opensea.io
Attn: Legal
228 Park Avenue South, #22014
New York, NY 10003",http://app.kodexglobal.com,,"<p class=""font_8"">All requests and attachments must be in English. &nbsp;</p>
<p class=""font_8""><br></p>
<p class=""font_8"">All relevant wallet addresses and transaction hashes should also be provided in a word document format or a copiable .pdf format.</p>",NA
Chainup,15d5f8b4-2d9e-460f-9c8c-d9a4475505c0,2025-02-14T15:22:00Z,2025-02-14T15:24:19Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Chainup,Letterhead,Email,compliance@chainup.com,,,,"<p class=""font_8"">Singapore based VASP</p>
<p class=""font_8"">Will provide KYC and account records</p>",
Blockchain BTM,15fa12c4-f4d1-421d-97e7-2fd30327f956,2023-11-23T01:45:51Z,2023-11-23T04:15:42Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,BlockchainBTM Inc.,Subpoena,Email,support@blockchainbtm.com,,http://NA,11/22/2023," ""Phone 800-575-5581"",
       ",NA
